"ID","count","mediansTime","mediansCell_length","mediansX.Rh103.Di","mediansX.Xe131.Di","mediansX.Cs133.Di","mediansX.La139.Di","mediansX.Ce140.Di","mediansX.Pr141.Di_clust","mediansX.Nd142.Di_clust","mediansX.Nd143.Di_clust","mediansX.Nd144.Di_clust","mediansX.Nd145.Di_clust","mediansX.Nd146.Di_clust","mediansX.Sm147.Di_clust","mediansX.Nd148.Di_clust","mediansX.Sm149.Di_clust","mediansX.Nd150.Di_clust","mediansX.Eu151.Di","mediansX.Sm152.Di_clust","mediansX.Eu153.Di_clust","mediansX.Sm154.Di_clust","mediansX.Gd155.Di_clust","mediansX.Gd156.Di_clust","mediansX.Gd158.Di","mediansX.Tb159.Di_clust","mediansX.Gd160.Di_clust","mediansX.Dy161.Di_clust","mediansX.Dy162.Di_clust","mediansX.Dy163.Di","mediansX.Dy164.Di_clust","mediansX.Ho165.Di_clust","mediansX.Er166.Di_clust","mediansX.Er167.Di_clust","mediansX.Er168.Di_clust","mediansX.Tm169.Di_clust","mediansX.Er170.Di_clust","mediansX.Yb171.Di","mediansX.Yb172.Di_clust","mediansX.Yb173.Di","mediansX.Yb174.Di_clust","mediansX.Lu175.Di_clust","mediansX.Lu176.Di_clust","mediansX.Ir191.Di","mediansX.Ir193.Di","mediansFileNum","mediansdensity","raw_mediansTime","raw_mediansCell_length","raw_mediansX.Rh103.Di","raw_mediansX.Xe131.Di","raw_mediansX.Cs133.Di","raw_mediansX.La139.Di","raw_mediansX.Ce140.Di","raw_mediansX.Pr141.Di_clust","raw_mediansX.Nd142.Di_clust","raw_mediansX.Nd143.Di_clust","raw_mediansX.Nd144.Di_clust","raw_mediansX.Nd145.Di_clust","raw_mediansX.Nd146.Di_clust","raw_mediansX.Sm147.Di_clust","raw_mediansX.Nd148.Di_clust","raw_mediansX.Sm149.Di_clust","raw_mediansX.Nd150.Di_clust","raw_mediansX.Eu151.Di","raw_mediansX.Sm152.Di_clust","raw_mediansX.Eu153.Di_clust","raw_mediansX.Sm154.Di_clust","raw_mediansX.Gd155.Di_clust","raw_mediansX.Gd156.Di_clust","raw_mediansX.Gd158.Di","raw_mediansX.Tb159.Di_clust","raw_mediansX.Gd160.Di_clust","raw_mediansX.Dy161.Di_clust","raw_mediansX.Dy162.Di_clust","raw_mediansX.Dy163.Di","raw_mediansX.Dy164.Di_clust","raw_mediansX.Ho165.Di_clust","raw_mediansX.Er166.Di_clust","raw_mediansX.Er167.Di_clust","raw_mediansX.Er168.Di_clust","raw_mediansX.Tm169.Di_clust","raw_mediansX.Er170.Di_clust","raw_mediansX.Yb171.Di","raw_mediansX.Yb172.Di_clust","raw_mediansX.Yb173.Di","raw_mediansX.Yb174.Di_clust","raw_mediansX.Lu175.Di_clust","raw_mediansX.Lu176.Di_clust","raw_mediansX.Ir191.Di","raw_mediansX.Ir193.Di","raw_mediansFileNum","raw_mediansdensity","cvsTime","cvsCell_length","cvsX.Rh103.Di","cvsX.Xe131.Di","cvsX.Cs133.Di","cvsX.La139.Di","cvsX.Ce140.Di","cvsX.Pr141.Di_clust","cvsX.Nd142.Di_clust","cvsX.Nd143.Di_clust","cvsX.Nd144.Di_clust","cvsX.Nd145.Di_clust","cvsX.Nd146.Di_clust","cvsX.Sm147.Di_clust","cvsX.Nd148.Di_clust","cvsX.Sm149.Di_clust","cvsX.Nd150.Di_clust","cvsX.Eu151.Di","cvsX.Sm152.Di_clust","cvsX.Eu153.Di_clust","cvsX.Sm154.Di_clust","cvsX.Gd155.Di_clust","cvsX.Gd156.Di_clust","cvsX.Gd158.Di","cvsX.Tb159.Di_clust","cvsX.Gd160.Di_clust","cvsX.Dy161.Di_clust","cvsX.Dy162.Di_clust","cvsX.Dy163.Di","cvsX.Dy164.Di_clust","cvsX.Ho165.Di_clust","cvsX.Er166.Di_clust","cvsX.Er167.Di_clust","cvsX.Er168.Di_clust","cvsX.Tm169.Di_clust","cvsX.Er170.Di_clust","cvsX.Yb171.Di","cvsX.Yb172.Di_clust","cvsX.Yb173.Di","cvsX.Yb174.Di_clust","cvsX.Lu175.Di_clust","cvsX.Lu176.Di_clust","cvsX.Ir191.Di","cvsX.Ir193.Di","cvsFileNum","cvsdensity","percenttotal"
1,1,11.4546096758597,2.18742176068697,-0.142415569607604,-0.104907691388426,-0.135289431191246,0.0846314795850212,-0.194962036433009,0.174638125174955,-0.064098171153458,0.429901865258345,2.61103698459344,2.80113717399617,1.45703959060192,-0.0568367788616744,2.50916009805084,2.05417675810766,0.179585493244055,-0.0299507630035549,-0.173579820828716,2.32946937963637,1.12593787225407,2.26654599092441,-0.122625123978235,-0.120663523046836,-0.066903492639384,-0.0242874257933585,1.10925377969481,0.599644737911135,-0.00886361764860995,0.831584157586833,0.0964065949513128,0.216067596825229,0.728013942486925,0.585039153936804,0.974593427397731,0.0222509664093414,2.45719010232507,-0.0887139642462948,-0.131090263386441,-0.111355600396681,0.58107883038814,0.0444453554059952,3.31181991125468,3.82336982038525,0.209919516982037,7.30491981393533,235838,22,-0.714487373828888,-0.525501132011414,-0.678512573242188,0.423662722110748,-0.980997383594513,0.877635896205902,-0.320710361003876,2.21633434295654,33.8492546081543,41.0065422058105,10.1507654190063,-0.284336924552917,30.5331573486328,19.1805381774902,0.90276175737381,-0.149776205420494,-0.872263967990875,25.4378547668457,6.896897315979,23.8558902740479,-0.614663362503052,-0.604782700538635,-0.334767073392868,-0.121449068188667,6.75572490692139,3.18116235733032,-0.0443186685442924,4.6539888381958,0.482780009508133,1.08876359462738,3.9702410697937,3.09494304656982,5.68185949325562,0.111264012753963,28.9657325744629,-0.444151878356934,-0.657330214977264,-0.557929396629333,3.07167911529541,0.222299948334694,68.4963989257812,114.340728759766,1.05732321739197,3719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0268889486421081
2,1,11.5142765519409,2.38801132228465,-0.0442223879506153,0.558165076502586,-0.0127038340014677,-0.0874362729758788,-0.0254861181552186,0.0341224759591554,0.109482250226245,-0.148640828357465,1.35291385338339,1.76144931946755,1.82136801740343,0.115753441086103,1.42895014703905,1.30084750432073,0.188384914085421,-0.07916719059207,-0.15170755398303,0.0199665333058112,-0.00234651592358266,1.83254101884861,0.514027355631678,-0.00534899366244102,-0.11298380655117,0.043299962635088,0.656108569950559,-0.069536994755062,-0.133164717033332,1.63701705123702,0.0828333992221457,0.45526194826936,0.169732257980361,0.85632178988052,0.241362924734542,-0.0838217454783456,0.849929586599081,1.16763702302218,-0.134303635052045,-0.158233444032082,-0.0935523177342655,0.430607272855742,3.51981872517241,4.5935856118828,0.214453073892529,7.30491981393533,250338,27,-0.221184015274048,2.93801236152649,-0.0635208785533905,-0.437738627195358,-0.127444386482239,0.170645490288734,0.548505485057831,-0.745943903923035,9.02548980712891,14.1226797103882,15.0462579727173,0.580060541629791,9.83688545227051,8.50026702880859,0.9475057721138,-0.396249562501907,-0.76145076751709,0.0998392999172211,-0.0117325903847814,15.2243518829346,2.68482351303101,-0.0267450958490372,-0.566121697425842,0.216567471623421,3.52102828025818,-0.347965240478516,-0.667793154716492,12.3631381988525,0.414640784263611,2.35576128959656,0.85274201631546,4.82440757751465,1.21856617927551,-0.419599682092667,4.78009271621704,7.25821733474731,-0.673538744449615,-0.794472873210907,-0.46844419836998,2.22019290924072,84.3717498779297,247.095275878906,1.08050322532654,3719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0268889486421081
3,14,11.5336126036604,2.06987037606437,-0.101658134785989,-0.114753909665189,-0.118675225514142,-0.0717070556632448,-0.112336504832168,0.375991034960345,-0.0965383443977346,0.882104243696249,1.03086379215833,2.42535290758612,2.58441207035753,0.0409915900202435,-0.00195667102485507,0.289147532191787,-0.064223020220545,-0.133168347841993,-0.0345804122600144,0.90111787051502,2.27377712739308,-0.0757086733977625,-0.0855978758944071,-0.0840496766615616,-0.0892240468283383,-0.0774407907556436,0.455357075651385,0.140078509231344,-0.0558377015150869,-0.0805014550899689,-0.0948175472871046,-0.0238324435087983,-0.087541693473888,0.223940073530884,0.0162494999162767,-0.0536919561373828,0.494923876088734,-0.0259171914396737,-0.0817336863351741,-0.00548063200436368,-0.0131663645323677,0.0814523559677749,3.66569849202099,4.15592196706958,0.202071605809161,7.30478535123505,256667.5,19.5,-0.50916662812233,-0.575038582086563,-0.594781547784805,-0.358859017491341,-0.562865614891052,1.94815224409103,-0.483441904187202,5.0069272518158,6.1498429775238,28.0635166168213,32.9715175628662,0.205404952168465,-0.00979235023260117,1.46601319313049,-0.321428716182709,-0.667814373970032,-0.17294043302536,5.23010408878326,24.0402870178223,-0.378908157348633,-0.428521409630775,-0.420751661062241,-0.446754842996597,-0.387592777609825,2.3618950843811,0.702806800603867,-0.279333844780922,-0.403055563569069,-0.475124388933182,-0.11918082088232,-0.438267827033997,1.12915569543839,0.0812537167221308,-0.268659196794033,2.57791244983673,-0.129603151232004,-0.409133642911911,-0.0274098664522171,-0.0658337660133839,0.407731175422668,97.6619529724121,159.564506530762,1.01724827289581,3718.5,4.38805466444353,7.32347537158136,61.5360857864495,1556.60733259179,59.7883609419886,147.398280663486,62.9351630610302,103.426977908779,5875.291166731,32.4654841240518,66.7820986870863,20.3498185656372,18.5231864974771,221.456424187822,456.787058516074,103.870815535457,648.406535651956,96.2404279892561,6720.99305904942,71.7605292210403,29.575517778392,1070.29594962226,130.458958572389,90.6860365334158,812.641905687408,159.630744527199,64.2120888950121,173.022756969204,1074.64606093169,352.769489553023,681.54250964503,1104.61546510789,350.189301692579,122.144435938735,230.512467903094,174.384005107825,110.073426315253,982.497178159758,98.4657263359563,326.041849843617,728.952543214247,210.306914467025,8.20953334543925,4.82175966288397,6.58580292374008,0.00649005106328784,0.376445280989513
4,14,11.6811345849434,2.31168352356875,-0.113203278409579,-0.0403829701040148,-0.0792109899809471,0.0852408650552114,-0.102979256710187,3.43407591498885,0.0829189428106722,0.211074451122686,0.209148703935501,1.03952706166616,1.5084927852177,0.220791564071282,0.0531950878420256,1.13622877351863,1.14344890027444,-0.0493014447348647,0.563506114002759,0.353511358647866,0.226256571607761,0.0816825350863149,0.0408919679542766,-0.114388077154099,-0.0402291764251778,-0.0543902915189387,0.527293524600788,0.811575882097784,-0.00274209582890463,0.408648832933979,0.430106124663396,1.17960871348419,0.233835248886831,0.392529393041446,0.649132795885536,0.684768642436503,1.53821435387291,0.20045087664536,-0.0080926288729708,0.336719546404424,1.62503372741957,0.430812599086781,3.95563546540838,4.69843376400131,0.207624889876713,7.30438174603554,295853.5,25,-0.567266881465912,-0.201969966292381,-0.396470382809639,0.426741719245911,-0.516199216246605,77.4283256530762,0.415246248245239,1.06355279684067,1.05339080095291,6.18938636779785,10.7702775001526,1.11365017294884,0.266313023865223,7.00039982795715,7.05070376396179,-0.246629767119884,2.96919977664948,1.81503629684448,1.14440843462944,0.40918841958046,0.204547256231308,-0.573202073574066,-0.201209239661694,-0.272085607051849,2.76229310035706,4.51824021339417,-0.0137106836773455,2.10107409954071,2.22030901908875,7.52412962913513,1.1798779964447,2.03161400556564,3.47860288619995,3.72475004196167,11.1164631843567,1.00906786322594,-0.0404640231281519,1.71587765216827,12.2204618453979,2.22323542833328,130.897113800049,274.41796875,1.0456001162529,3717,10.0128512596434,7.23312675823498,44.3108253379044,300.939589196335,63.5006405669229,236.580603127467,741.596174517684,18.3113550627933,163.02260982006,96.8971095381477,110.328864423563,20.2600893286155,32.7833169273143,140.102789863224,197.462740896852,47.2703458772221,60.9601914057663,560.312734933228,100.434746499696,85.3907917472715,119.695620443864,216.393931619683,213.664207713658,182.545669333914,1518.92508120557,287.29875915952,77.4249444751376,66.7612993788057,615.164623977034,106.705283794729,82.2602789121475,59.6202962056468,127.321359179317,108.155385053176,70.6608765483408,67.3332009879029,61.245621646425,170.541154149959,1900.66676522191,68.7142689388679,37.3664375857064,71.2267697111736,6.70291925476382,5.87915603606808,35.8502875654763,0.0215283289190855,0.376445280989513
5,10,11.9085598678992,2.0947125472611,-0.096618631682548,-0.111213189414646,-0.0724199222984182,0.0120700950025514,-0.0560866846038195,0.849921793567416,3.11203958284892,0.155256887796074,0.728025601733585,0.994328202726444,1.66374503403601,-0.053860512189014,-0.0215342323874328,1.75897136704879,0.265033896469983,-0.0783402060058594,-0.0634932049350282,-0.0791554504582989,-0.0583022262624993,-0.0105405079486805,-0.0379012273886118,0.0941967830294724,-0.0811822198093181,-0.101084679592174,-0.0354246747883555,-0.0144204659111631,-0.0815116654689522,-0.102999602739404,0.125920868988807,0.220456543119239,-0.0922081191087219,2.58390456999924,0.991565899376499,0.0234443405524221,0.466746250131829,-0.104853288171073,-0.0616533169918,2.50083697404332,0.243044490722873,0.120861666494358,3.50755050387407,4.18260141931206,0.197262185864219,7.30397824940483,371584.5,20,-0.483953878283501,-0.557213962078094,-0.362430229783058,0.0603740252554417,-0.280585154891014,4.78199410438538,56.0941638946533,0.779406934976578,3.98180866241455,5.83241033554077,12.7248258590698,-0.26961137726903,-0.107679575681686,14.0939588546753,1.3414198756218,-0.392102509737015,-0.317684546113014,-0.396192952990532,-0.291743099689484,-0.0527040949091315,-0.189553789794445,0.47172424197197,-0.406360372900963,-0.506321802735329,-0.177162297070026,-0.0721048340201378,-0.408011734485626,-0.516021966934204,0.631441056728363,1.11423799395561,-0.46171261370182,33.112491607666,5.83443450927734,0.117629796266556,2.41964936256409,-0.525231391191483,-0.308574974536896,30.7059421539307,1.22854408621788,0.605865299701691,83.3414649963379,163.933654785156,0.992720901966095,3715.5,5.84684793216667,4.35791317451551,57.5992896957042,131.76884616991,72.0158051869154,271.745808500816,537.83576651719,71.1682754660602,27.1671634667702,116.862033697124,85.4242627190185,26.5579186658276,23.6368165870914,220.405192964368,844.189538520624,41.0756246082255,107.75093310312,57.002451694774,3847.50783025645,446.200134470432,553.198261763586,6076.40989447658,687.004240403615,228.241082750946,470.394491148704,86.8719941931867,1636.40389887564,382.204732142694,1473.19075245154,443.330564220178,157.907324550338,170.522390202447,432.658932219298,39.2915108719925,49.7774202546086,435.749236688785,92.0530354667331,10930.7828004571,178.972488703122,38.1186552989273,131.703340704161,167.396216869794,11.0650295503438,7.07827573316099,29.5447079915695,0.0184461050842699,0.268889486421081
6,4,10.5908679215022,2.09357005655227,-0.146310530745607,-0.0698931414986944,-0.0410964147370784,0.00391928464502441,-0.069343389736647,0.30742451930148,-0.0599546953367433,-0.136935647480516,2.42134335458288,2.55334787037414,2.63771665420487,-0.0594094377705323,2.3188102174397,0.650732995327064,0.151192861568118,-0.122543603016767,-0.108728924917436,1.01794801656375,0.308808465174377,1.73146126129503,0.158974825681233,-0.0460369014339281,-0.0996366134401512,0.0451059290480953,0.598905169331114,0.167379940155208,-0.0935914198684772,0.219621274440858,0.0743258501713937,0.210163270810419,0.738303820364123,1.4973390542341,1.2838957102935,0.118465358109249,0.821933045316667,1.74000645282331,-0.0401590259949264,-0.132896265271974,0.176015683539253,0.198627366544676,3.33020528734148,4.03632581606791,0.203753003170131,7.30491981393533,105611,20,-0.734214663505554,-0.350077636539936,-0.205540329217911,0.0196071118116379,-0.347015351057053,1.56820964813232,-0.300171814858913,-0.687315821647644,28.121675491333,31.9370212554932,36.8377456665039,-0.297371052205563,25.2528829574585,3.78786289691925,0.758986830711365,-0.614538803696632,-0.544725716114044,6.03533101081848,1.61121827363968,13.6808896064758,0.801214292645454,-0.230277441442013,-0.49900783598423,0.226786971092224,3.1768364906311,0.846352607011795,-0.468851625919342,1.12485992908478,0.374019108712673,1.07050143182278,4.07137894630432,10.7433786392212,9.45398139953613,0.600853070616722,4.68217647075653,14.991509437561,-0.201087776571512,-0.666463494300842,0.909267544746399,1.0102913081646,69.9834098815918,142.133178710938,1.02583992481232,3719,10.1129836011232,9.34937480712188,27.7248556085871,91.1078844300037,69.1436257350326,254.082975258853,256.161785771295,96.5519630212271,108.793816366785,363.512335236455,17.5433248786165,15.6480693569309,30.2752312442104,259.566606277612,11.6583759741954,90.9839511976315,100.22160996673,48.2303578856017,137238.225034153,22.6471597464965,138.761319874009,11.9410123215005,112.557967420444,87.0317809014725,43.3406508909366,228.942599721059,67.4887091372139,133.741350392608,61.2963485482537,119.89333573259,261.987199653412,164.908448062784,99.5331136384327,40.9153377525566,74.06532231449,186.82934002769,41.5289256694032,80.778891937465,827.98327626128,62.6105201060744,194.52256596018,114.713154516708,6.69967250006921,7.1994047006804,6.13092430187377,0,0.107555794568432
7,133,11.2108469257508,2.31243834127275,-0.11188004576905,-0.0874881331902352,-0.0984814858189628,-0.0372132951222936,-0.088660138494478,2.36514732449738,0.0916901142913939,0.239265195881167,0.261652836570592,1.09444449053872,1.40325601427644,0.162385440649287,0.112003831168119,1.09214023364043,1.25629974833131,-0.0685946110171388,0.259129956598909,0.219472620868384,0.171809444470322,0.0946830544890091,0.0492743689930312,-0.0803095991143959,-0.0558649069830746,-0.0333934289211414,0.575847584063367,0.532849788116979,-0.0430160827741728,0.588662632386378,0.683251325265264,0.999765270697824,0.153775165400647,0.156118445361113,0.404666393310641,0.64938288370672,1.30352090193131,0.111799440405247,-0.0811290905253712,0.184376518631521,0.952255935291711,0.477038345734711,3.99784577309244,4.69795538673212,0.206665636869225,7.30491981393533,184820,25,-0.56056797504425,-0.437998920679092,-0.49320375919342,-0.18610942363739,-0.443881690502167,26.3791790008545,0.45909321308136,1.20777320861816,1.32324314117432,6.63199281692505,9.55657482147217,0.815500199794769,0.561190783977509,6.61287212371826,8.06923770904541,-0.343242079019547,1.31019866466522,1.10619401931763,0.863279759883881,0.474122941493988,0.246471554040909,-0.401979774236679,-0.279469847679138,-0.1669981777668,3.04102325439453,2.79212713241577,-0.215146750211716,3.11627078056335,3.68833351135254,5.87419509887695,0.771909654140472,0.783766984939575,2.07900762557983,3.47997760772705,8.52666187286377,0.560162425041199,-0.406090587377548,0.92711466550827,5.51419973373413,2.47669124603271,136.15576171875,274.283721923828,1.0406996011734,3719,10.2947193727585,6.61612843884132,73.7631768744178,149.233172259826,57.5232075883542,17435.6652890252,185.504116147999,21.4490532368764,179.349947307657,90.4047692393049,118.21441575156,25.8028232245635,40.2573860115767,146.688029670605,166.880472718816,46.6314533365729,42.6558401671548,487.624040098037,115.639546328907,102.544894544072,142.368800558002,196.635004058233,253.904151038006,259.660487599022,10986.3962038378,538.887847024238,78.1102611552055,89.8139228470026,2105.97705931739,75.0522385038653,68.7030421469323,53.2393908998221,149.371539434323,142.267313269151,86.6379872316684,72.6755956598602,62.842235140595,205.713861018144,272.787484605703,150.112263134746,57.2017775073784,82.4610315458596,8.1440798138109,6.50588266629457,34.5589120556663,0.0201235201385289,3.57623016940038
8,1,11.2339837509005,2.04502820486763,-0.090129027182887,-0.180852876363098,-0.136240265690445,0.0876355540972907,-0.138340990646281,0.646242888190316,0.108851520856973,-0.103716743241268,2.71567786384683,2.81783475633048,1.96872299129837,0.47293006460358,2.79733565139928,1.55631700628819,0.0919607221150974,-0.0733275666362122,0.0332162391455474,0.981345025260478,0.397793880952597,2.89837481336946,0.0536546129716791,-0.101221939918446,-0.173668073070785,1.79137460963808,-0.190713820649256,0.116022393108422,-0.076247575223575,0.32585790670161,1.04605641211505,-0.187328250747512,1.36119625948006,0.973650518986846,-0.0126597167009759,-0.0434168804773473,0.991777336770527,-0.12497351607669,-0.154206560976481,-0.0815864542996597,-0.0914134869633721,0.653595807700695,3.11017515341383,3.94841175458367,0.212977006700075,7.30491981393533,189146,19,-0.45125550031662,-0.909201860427856,-0.683310627937317,0.438738852739334,-0.693913400173187,3.46086645126343,0.545333027839661,-0.519513964653015,37.6217308044434,41.7020721435547,17.5547256469727,2.45378875732422,40.849796295166,11.3260383605957,0.46045196056366,-0.366966485977173,0.1661117374897,5.73308944702148,2.04184174537659,45.2238006591797,0.268401801586151,-0.506974399089813,-0.872711896896362,14.5774011611938,-0.959360122680664,0.581414341926575,-0.381607383489609,1.65827691555023,6.237708568573,-0.942128956317902,9.11125755310059,5.67472553253174,-0.0633002743124962,-0.217152610421181,5.81276273727417,-0.62649542093277,-0.774092257022858,-0.40838497877121,-0.457704275846481,3.50567293167114,55.9509468078613,129.58415222168,1.07295370101929,3719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0268889486421081
9,23,11.7322762328302,2.0947125472611,-0.106477958601249,-0.111824117285863,-0.0853764849081722,-0.0452149391761732,-0.0654828598255475,0.00471136503389115,-0.0797886258460869,0.836834775683881,1.07051130873587,2.6354948751773,2.30356216945288,-0.0507155302901582,0.0688663145595497,1.30648189574557,0.00608190385673946,-0.0647866350714938,-0.0127450159869354,0.12616457498724,1.15039334422853,2.06890775693621,-0.0280242982746337,-0.0738610728965183,-0.0186001125693645,-0.0551682964940859,1.02315825940407,0.128264951245182,-0.105174249652278,-0.0813126689869134,0.0203579087452724,0.0996766364245553,-0.0953701478395685,1.88329193571161,0.562866326716805,-0.0271777788356358,1.17515872953377,0.0495511538766839,-0.10227347320949,-0.0568040432053049,0.213013908136856,0.113371410016424,3.32207286006447,4.24609282252298,0.208442007995473,7.30491981393533,311317,20,-0.533396363258362,-0.560286581516266,-0.427401214838028,-0.22615173459053,-0.327648341655731,0.023556912317872,-0.399366557598114,4.68991899490356,6.43509340286255,34.6963272094727,24.7746829986572,-0.253686368465424,0.344603806734085,8.55596733093262,0.0304097067564726,-0.32415983080864,-0.0637268051505089,0.632497727870941,7.10730791091919,19.4746208190918,-0.14013983309269,-0.369641244411469,-0.0930059254169464,-0.275981426239014,6.05627298355103,0.643084704875946,-0.526841282844543,-0.40701150894165,0.101796574890614,0.499208867549896,-0.477573931217194,16.0575637817383,2.96530890464783,-0.135905623435974,7.32471752166748,0.247857168316841,-0.512259304523468,-0.284172981977463,1.07314240932465,0.568072140216827,69.2041702270508,174.544281005859,1.04977345466614,3719,8.12304834816913,8.62725668425061,59.7062983524787,215.253877693788,71.7562411207343,365.358844693826,162.759893675354,177.186598618606,331.961845791061,40.935648262264,49.3670044315828,18.2668186451489,21.1182015250228,434.407547616134,182.477121123277,56.8398601175291,355.414625284488,65.6887449887811,1189.32528797632,129.129906191632,64.653449850767,37.7817114880665,774.959177978656,100.243983426508,297.221506349647,1573.26580472539,61.1512950447763,195.668111377208,105.255558618889,98.5103235409744,412.174667435946,159.712187812663,700.19790258556,44.8663631951994,91.1829270287106,952.201720058634,69.4413305535899,178.983723628619,1622.38967586169,525.681531486781,139.784220401631,190.644096602783,10.7630863143017,7.78280987916138,35.0557228662874,0.00183709934188823,0.618445818768486
10,1,10.8611044721722,2.0947125472611,-0.0343753433953805,-0.128781823693977,-0.100049332089929,-0.148537767343068,-0.151323232357365,0.269066208828555,-0.156232164187549,-0.0918936227788979,3.13780472093254,2.37937129156919,2.51518871359158,0.398370259454754,2.63689269469148,1.2558732044122,0.257601125113893,-0.113302414214185,-0.153928792514718,0.91039149588082,0.363583231530766,2.07699856020035,0.192438386982807,-0.172935016304365,-0.0605139644276797,0.258113661806937,0.476659692333391,0.248675543485003,-0.0439891375070545,0.513291290151866,-0.0118342885703162,-0.0818860154671216,2.13129911715518,1.49608509493401,0.412259192690097,-0.15449378881254,1.34721009994652,0.269289066138425,-0.0248872576017203,-0.105826600706176,-0.168351208579133,0.108063501839842,3.45318110668986,4.38068538439761,0.216742874583856,7.30491981393533,130274,20,-0.17191056907177,-0.645690441131592,-0.501081645488739,-0.745422899723053,-0.759507060050964,1.36162281036377,-0.784342527389526,-0.460115045309067,57.5245628356934,26.7637577056885,30.7202377319336,2.0449550151825,34.745361328125,8.06518936157227,1.30229794979095,-0.567724943161011,-0.772686898708344,5.20732164382935,1.85823428630829,19.6379356384277,0.968141674995422,-0.868991434574127,-0.302754521369934,1.30494630336761,2.4745786190033,1.256232380867,-0.220016628503799,2.6806468963623,-0.0591728240251541,-0.409887790679932,20.7678070068359,10.6004314422607,2.12018299102783,-0.775545537471771,8.9667854309082,1.36277770996094,-0.124449133872986,-0.530121207237244,-0.845737874507904,0.541369736194611,78.9227828979492,199.700637817383,1.09221935272217,3719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0268889486421081
