,BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave
count,8,171,49,5,9,52,13,2,91,5,4,20,20,31,11,47,19,2,3,80,15,36,74,143,23,138,67,48,5,55,18,9,98,2,21,26,484,40,42,729,65,78
mediansTime,12.4661770158357,12.4019189952719,12.6172335020341,11.5165867543624,12.4532529846879,12.1696224628707,12.4789674228699,12.6709004449719,12.4518008331307,11.8113278688334,12.439983188799,12.3553635663311,12.5982519648559,12.4471708431807,12.3238005685765,11.7607600679589,11.5617613424712,11.7411405402919,12.564163786201,12.4197229182249,11.2899019066128,11.4598118140193,11.8252018755321,11.7777421045805,12.5111809945939,12.2623785211882,11.6650936095175,12.0565799936177,12.6889505445815,12.4824551172879,12.4354489410974,12.4169832788866,12.1326265391777,11.9764572929388,12.0488619553438,12.3641405703626,11.8075556741161,11.2158201095663,12.3101688681773,11.678856765773,12.4164259492587,12.4598049090971
mediansCell_length,2.14211190823691,2.23081417900093,2.18742176068697,2.2724413273866,2.23081417900093,1.87986358439691,2.2724413273866,1.92397072418568,1.75322890111027,2.0947125472611,2.0399955929507,1.78583768017117,1.90887143103071,1.99283576493974,1.81844645923207,1.75322890111027,1.9378792776645,2.01893198490369,2.18742176068697,1.87986358439691,2.0947125472611,2.20911796984395,1.99283576493974,2.42379204358752,1.9378792776645,2.04502820486763,2.14211190823691,2.14211190823691,2.0947125472611,1.81844645923207,1.99283576493974,2.04502820486763,1.9378792776645,2.18083566062601,2.14211190823691,2.01893198490369,1.99283576493974,2.0947125472611,1.99283576493974,1.87986358439691,1.99283576493974,2.14211190823691
mediansX.Rh103.Di,-0.0554595180555143,-0.0991247320810749,-0.0824073577261353,-0.0338766326783986,-0.136781385193568,-0.103760856955979,-0.0816152962763257,-0.00577852851682047,-0.112176540277934,-0.100960171792502,-0.0766758688952323,-0.101163018095765,-0.0742052521477123,-0.111198135245874,-0.140205974934283,-0.105982948235241,-0.0528668630901144,-0.00472300048411658,-0.118044006939657,-0.110229661927094,-0.0486944054342404,-0.107766198926297,-0.11774074380426,-0.0828682080074277,-0.101752689702828,-0.0904483707903043,-0.118065398816705,-0.113732434141206,-0.0338506331400403,-0.101064827685885,-0.109908147843715,-0.122459866723483,-0.0756992385574608,-0.115512555477647,-0.0991871113812227,-0.0906789745544107,-0.0940462603860289,-0.103532991881394,-0.0836795995422292,-0.102523988296996,-0.111942335544077,-0.105485907336325
mediansX.Xe131.Di,-0.0694621279292221,-0.076138600619883,-0.109192860727657,-0.0600379505372717,-0.0493330499544521,-0.100951818366219,-0.042600810351389,-0.126412656183224,-0.105274402693088,-0.0726131111922419,-0.0673205829962267,-0.0564467165782405,-0.0843193380192462,-0.108120674078443,-0.128821016027174,-0.0680838301276633,-0.100116752704965,-0.0991776627693762,-0.110455307287816,-0.0826081672620183,-0.0571106646009055,-0.0833461744325332,-0.116101113197693,-0.0480157001691033,-0.0785028582635258,-0.0793639445225865,-0.104554932483229,-0.110219425620195,-0.0276719360278852,-0.094778369436181,-0.0921239233781264,-0.130002049129357,-0.0777104715024532,-0.0265861337142063,-0.0737602878852125,-0.10521062751837,-0.105182756305064,-0.0809935309974343,-0.0810936950033896,-0.0971409933055946,-0.0992566374236811,-0.0683217357827429
mediansX.Cs133.Di,-0.0866631327686008,-0.0980306862230576,-0.0697078722698345,-0.0523722869952685,-0.0399053005521656,-0.0812289740830749,-0.103214724449733,0.136517080855322,-0.101520620635597,-0.160919385265982,-0.0621735330898179,-0.129331913810774,-0.098350799094091,-0.0943773561133049,-0.0674563948420936,-0.0814134544852885,-0.122361955524699,-0.131972463920036,-0.0666018382844834,-0.101659607783965,-0.125740695569521,-0.087751819663549,-0.105887874419565,-0.0779097649445729,-0.0844837533874078,-0.0979412273358257,-0.100595421267667,-0.0696207660037328,-0.107542322285663,-0.09840236880755,-0.101370688012666,-0.135938721043883,-0.101196711875072,-0.0741678564394977,-0.0907638230997584,-0.101802814967429,-0.0922657976063658,-0.0880750754814588,-0.105600669227973,-0.0940357411123878,-0.0939013957347802,-0.106662767764333
mediansX.La139.Di,0.540557660446473,-0.0578087458796347,-0.0616810020976015,0.149571348353185,0.149041455636624,-0.0752759265454426,-0.0592828819917284,1.13829504933675,-0.033997378773511,-0.130832375302994,0.548980852743226,0.0350835084131276,-0.0799623028968079,-0.0598881830559534,0.0927970341574794,-0.0308849852173185,0.067856362047503,0.0312663950747892,-0.173931647474008,-0.0433422291558134,-0.0438224350077224,0.147483549107546,-0.00866611396815617,-0.0532906807971926,0.126787059679653,-0.012918589968763,-0.0546901066814718,-0.055410019897786,0.356958440273229,-0.0128859783366363,-0.012354005768542,0.181119214734897,0.0664466399057293,0.0224190759109049,-0.0609457070081028,0.194309920622999,-0.0281498164187005,-0.000793263105265531,0.0819546972767548,0.00869959720617081,0.0722025998462816,-0.0484518694188993
mediansX.Ce140.Di,-0.125452995579045,-0.0887959076131409,-0.113255141415407,-0.074597413754838,-0.0613209440194772,-0.092173447127062,-0.0856554986159548,-0.0302394427066078,-0.0851722238077403,-0.00366092959365184,-0.0608402535776771,-0.0953072428495311,-0.1031407436274,-0.0986261346603102,-0.0413857713185938,-0.0913573652792806,-0.0595065531299366,0.0360153604592653,-0.0797121639113952,-0.0901550730327449,-0.0895989887322173,-0.0296332036952084,-0.0924312766254065,-0.0791215631612485,-0.0582662811632922,-0.0751594904285494,-0.085743574633375,-0.101130021561174,-0.0619914254580644,-0.0910645188083633,-0.0976439370859093,-0.0622202116292892,-0.0873336000763572,0.0424012206689907,-0.107077829991915,-0.100877340352755,-0.0908060810820318,-0.112895059021657,-0.0660717388029662,-0.0756323050149843,-0.0844444592037703,-0.0661292034588674
mediansX.Pr141.Di_clust,0.312476522262472,0.347631233264642,0.123332958044383,0.767878298476519,0.510288539106392,0.737701144930533,0.824316412390738,0.93444415447264,0.211535902697218,1.28790620075364,0.427228210956631,0.432188721735958,0.38473616463435,0.999876840806393,0.793059143777187,0.229910886646481,0.308283623483668,0.70567403755648,0.274884644134416,0.218188619488474,0.388145076430023,0.0753227150807892,0.344417832294832,0.53760328539845,0.0790002001691365,0.232153324638358,0.369104421532149,0.417149705548088,0.395566021656276,0.125062489096239,0.464709220338424,0.38175841022919,0.0118852498486437,0.422997238013282,0.0937304158178854,0.17149532591145,0.0993659818314917,0.191457580203575,-0.00405963463201713,-0.0112346967988037,-0.00454361067507386,0.126550885640471
mediansX.Nd142.Di_clust,-0.0165018424492248,-0.0239522724953515,-0.0537485931602196,0.524847950921144,-0.0585984508989504,-0.00216517216750726,0.253997618284346,-0.0893996621016706,-0.0272767365277703,0.0743277473551346,-0.153386973132902,-0.0619279218081682,-0.0195045394007681,0.0479139141962176,0.0183520803745461,-0.0195020040702327,-0.0653114221295054,0.0826035661189854,0.154334379041385,-0.0292181679156501,0.173799973326319,-0.0241740328147487,-0.0759072825871056,0.138646628058434,-0.0442449798473738,-0.0555265986867884,-0.047125680577997,-0.0431370732523738,-0.0733911545457573,-0.0338417124545785,-0.0531163582607484,-0.00346140840857415,-0.0512395598363276,-0.0361161470303164,0.00625660584360966,-0.0100390069073567,-0.0289968935940363,-0.0732883564995771,0.0361194653517297,-0.0530741275368864,-0.0302329198612157,0.00894378949222886
