,BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave
count,85,26,14,5,294,254,12,929,391,16,440,234,335,170,636,457,129,29,97,235,87,15,45,3,53,24,12,14,80,55,20,31,0,13,17,35,11,5,18,7,4,9
mediansTime,11.8296059885745,11.6567608595856,11.1333612098185,12.6243986960451,12.3472284131233,11.7716115080066,12.6265334586985,12.0498959146811,12.1139551636676,11.253093793799,12.3070097394626,11.9095227011477,11.8483199782501,12.0337236898081,12.3606502781689,12.1884217815559,12.1675500886361,12.4430244229908,11.9908104545802,11.6002511259848,12.1242268132335,12.3731908819996,12.2725492873199,11.840241626714,11.7984742636671,11.0347443447119,10.8287480111614,11.6914515672297,11.9253176576428,11.5341741052051,12.4736898335647,11.4570279030931,NA,11.1997642041787,10.9066236479566,11.5565480143652,11.0984821735496,10.8871752167459,11.9879926206852,11.5708395932752,10.0690160635265,11.7744555355001
mediansCell_length,2.31243834127275,2.38801132228465,2.29243983432967,2.42379204358752,2.2724413273866,2.14211190823691,2.3502248317787,2.18742176068697,2.04502820486763,2.25162775319376,2.23081417900093,2.0947125472611,2.14211190823691,2.23081417900093,2.0947125472611,1.99283576493974,1.99283576493974,2.14211190823691,2.2724413273866,2.04502820486763,2.0947125472611,2.2724413273866,2.18742176068697,2.42379204358752,2.23081417900093,2.2724413273866,2.2724413273866,2.36946852101778,2.23081417900093,2.18742176068697,2.31243834127275,2.18742176068697,NA,2.14211190823691,2.18742176068697,2.18742176068697,2.18742176068697,1.9378792776645,2.18646304361892,1.9378792776645,2.04502820486763,2.14211190823691
mediansX.Rh103.Di,-0.0996790562627449,-0.0858282056641174,-0.0834431897573668,-0.168350562110808,-0.108197186854467,-0.0873925412471665,-0.073059956491791,-0.100320992646669,-0.101204422508124,-0.113962690825899,-0.104468978114959,-0.106016928416309,-0.109035950716306,-0.113011576566642,-0.0950999520678761,-0.103813852381546,-0.102309452906185,-0.100681364729999,-0.0866332113955296,-0.0964065237568441,-0.0956066232362526,-0.0964101368755161,-0.0955986725755232,-0.122127023049916,-0.0840216643390541,-0.109827831615832,-0.111384936847294,-0.0942108759282823,-0.0955845230579151,-0.0875476171727538,-0.0967355750396397,-0.0861161755751128,NA,-0.11106673249783,-0.0943409745900164,-0.107546470598395,-0.146037167197894,-0.102512011153427,-0.13775369510679,-0.154144594821303,-0.0524341673342348,-0.11091481901536
mediansX.Xe131.Di,-0.0908393643405563,-0.0825442542102147,-0.0981268869820596,-0.0469732971435523,-0.0874302471794746,-0.0948631147407562,-0.0813802764463424,-0.0792608335602968,-0.0908491764722864,-0.0585592329454388,-0.0823208698447513,-0.0969372111882797,-0.0784455402018149,-0.0854999721431527,-0.0919055666222423,-0.0918739232138669,-0.105262168145062,-0.0756495945211464,-0.0640339776058785,-0.10071278384281,-0.09238537624348,-0.0525462600111669,-0.103949068416603,-0.0212226373781616,-0.0711759860816734,-0.069224225826095,-0.0453893759388179,-0.0453687209699419,-0.0735529517878099,-0.0973461591876423,-0.0952320552753839,-0.106859259725185,NA,-0.088204954530057,-0.0904963141548174,-0.0830727580861108,-0.0944205675405534,-0.0773274480861209,-0.079599938972794,-0.145054119545152,-0.0556328395822183,-0.123331786791603
mediansX.Cs133.Di,-0.0969748892456336,-0.0826207633366375,-0.073492940050396,-0.128645707133975,-0.100145591306026,-0.0907684338434641,-0.112626034117509,-0.0930449555145004,-0.0918187298171804,-0.0951385955302689,-0.0985618211926421,-0.0990442913671045,-0.0868760620457754,-0.0945936954235357,-0.10274211173632,-0.0988496820581762,-0.0955599693850537,-0.0638371423205262,-0.098070892824118,-0.0934570867725467,-0.111344049175516,-0.115040967509752,-0.120140733790389,-0.0820015227183439,-0.0786307266462867,-0.111528291173486,-0.0808260188960893,-0.0867010799323675,-0.0851892209185304,-0.0977611057243851,-0.0868224171813292,-0.0842196495485717,NA,-0.123142420215323,-0.126175408217343,-0.0632023999956976,-0.118913584143118,-0.0759283631435883,-0.0727696819762221,-0.0365149529247847,-0.0360485793681671,-0.132929740238864
mediansX.La139.Di,0.132795753170227,-0.0449005087955138,-0.0653713782331301,0.0310907757482152,0.189088995288851,-0.0262905348661456,-0.0794718159801576,0.142180453361958,0.000482320673689567,-0.0525524204408533,0.158230503194799,-0.0123977277610011,-0.0267890119917169,-0.0266748690158302,0.111003428221393,-0.0202443078212604,-0.0208772260158996,-0.03485616014335,0.163370426027991,-0.0238925225256326,-0.027871984450807,0.0996198471627912,-0.0275773080396274,0.0109839749022742,0.199711617499111,-0.0284328563668673,-0.0519208684392182,-0.0550985622992916,0.112298834611298,-0.000316933257787417,-0.0850101085890555,0.197305531619915,NA,-0.0575896106883457,-0.0809788263663187,0.14671016485912,0.0181602524417136,0.142861859450603,0.22887964172661,0.182634247619277,-0.0181201605583128,0.0254362035242661
mediansX.Ce140.Di,-0.0466955134036777,-0.0297592109872856,-0.0451893750828559,-0.0648071734236852,-0.035298923864755,-0.0677534516216819,-0.0641052078983471,-0.0436041597815766,-0.065639795243478,-0.106808535499433,-0.0293870068036072,-0.0637262618940482,-0.0655528225548908,-0.0226703759806416,-0.063494617569048,-0.0721872321121342,-0.107305841709432,-0.063903412637326,-0.0471955638008963,-0.0688497955665463,-0.0812696336547079,-0.0549128544230326,-0.116775681850299,0.0709579309637801,-0.0287358312256106,-0.0117443292985369,-0.0869725072827271,-0.0519982504669442,-0.0311542583364311,-0.0485209552284567,-0.0878593200760829,-0.0585325339506227,NA,-0.118401257251897,-0.0754368351485893,-0.0395088458726503,-0.132621137486075,-0.0255076522738907,-0.0333576938685602,-0.0534918100722932,-0.146115705238279,-0.102486716801084
mediansX.Pr141.Di_clust,3.64247771531052,3.71549134267929,3.48516091346498,3.75967094808615,4.16460039897012,4.0390063427596,4.18044503647439,4.03892957879573,3.74105978133456,3.94491245628325,4.36584559795694,4.21122844327412,3.91730657311856,4.58399022285704,3.84122803137754,3.60379906904519,3.29418363758104,3.92958507966764,3.80505227428635,3.66008139330316,3.72724352369742,3.28966068336746,3.2207901452715,2.76639248172617,3.43754010470732,3.53767588865945,3.42808405148422,3.69092132296921,3.37404726201837,3.6832164404303,3.08817114040908,3.05022529604533,NA,3.1577089510512,3.28438795965005,3.36627053494964,3.07562027315667,3.40234582369746,3.42927180881042,2.51776115968705,3.46360286449898,3.87101235345266
mediansX.Nd142.Di_clust,0.348831607277482,0.235883857095603,0.21116707223704,0.226164250677821,0.296711507390468,0.278770844912708,0.500585090788557,0.306543318536961,0.189148337905146,0.500091169226157,0.344768796298297,0.343534744926484,0.270768568632362,0.367684438595197,0.271742386540456,0.269529437427433,0.358967459594856,0.338494070717667,0.33046732411614,0.313613537800364,0.343754994664738,0.219904029549919,0.132656434355638,-0.0610442289731088,0.215323511913381,0.156384392017813,0.287964037579123,0.339892603264594,0.177294863863036,0.146414582854507,0.143033276607255,0.0824712631217578,NA,0.21981248106922,0.206648410728543,0.147220144204454,0.22671530531269,0.342759323776492,0.308179894206132,0.105960685851266,0.385964622283831,0.454341423674106
mediansX.Nd143.Di_clust,0.201881303340683,0.185070156617753,0.209753290451606,0.254777206032848,0.131085380832896,0.136003487719048,0.212833979548362,0.145061669369386,0.131424681168936,0.37582818812928,0.119307810539052,0.0867287451763884,0.19666805850301,0.199974997081009,0.191781413373924,0.208417811479284,0.379978530539975,0.359043049792238,0.214417651792762,0.247345767442913,0.346755748962334,0.142475943526362,0.233746014539819,0.401221078166101,0.190959763459578,0.136806243780185,0.333790578904194,0.242473142297717,0.140923461789724,0.0864138296895262,0.278452185563482,0.106947115153566,NA,0.368604764953115,0.210586152030461,0.262824693557364,0.167146917320825,0.257090945082914,0.148704929485189,0.165053319324825,0.13700167187248,0.108717003120249
