,BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave
count,10,106,880,14,2,5,2,0,1,50,0,0,1,0,2,5,123,1,0,4,8,0,0,0,0,0,3,0,0,0,3,1,3,6,2,2,5,12,0,13,111,15
mediansTime,11.7096095311352,11.2439326859765,11.4926166260022,11.0231901467689,9.89494338329606,9.76261499696832,10.3331900265993,NA,12.8201419861227,11.5722502127024,NA,NA,12.2991731130109,NA,10.2627500884128,11.7014576956095,11.5365794897297,10.1488934501879,NA,11.7294873599228,11.7389801812386,NA,NA,NA,NA,NA,11.7582218209868,NA,NA,NA,11.3644625790672,12.2290623455969,11.2446328627525,11.1909192554284,10.9734896261377,12.4658616614193,11.1463733305688,11.1037722881479,NA,11.329637041055,11.4459092102318,11.6771339664093
mediansCell_length,2.31168352356875,2.35092571975091,2.35092571975091,2.33168203051183,2.33168203051183,2.04502820486763,2.40464047261066,NA,2.23081417900093,2.29243983432967,NA,NA,2.18742176068697,NA,2.0162959124628,2.23081417900093,2.04502820486763,2.14211190823691,NA,2.118412227749,2.14211190823691,NA,NA,NA,NA,NA,2.04502820486763,NA,NA,NA,1.99283576493974,2.14211190823691,1.99283576493974,2.11182497197034,2.28771654148581,2.43989558746478,2.14211190823691,2.09357005655227,NA,2.0947125472611,2.04502820486763,2.23081417900093
mediansX.Rh103.Di,-0.108269838322011,-0.113955957322753,-0.0968994737404514,-0.0907009121669777,-0.0525381060235419,-0.16515965569605,-0.15474410994051,NA,-0.0751316306137065,-0.0854927728178819,NA,NA,-0.0479142446226338,NA,-0.0353165976517152,-0.117516189465384,-0.101074256624843,-0.0583554887437403,NA,-0.0879170217040083,-0.074133955622764,NA,NA,NA,NA,NA,-0.10281454219048,NA,NA,NA,-0.144957433882851,-0.196711466618894,-0.0707976158525937,-0.0480397049402128,-0.101860641159365,-0.104000724435383,-0.0787334886614285,-0.115023351072932,NA,-0.0719030062231249,-0.110944462604606,-0.0779158856360368
mediansX.Xe131.Di,-0.023388986552091,-0.0664448963768185,-0.083782829019537,-0.0471707792695978,-0.094657091688686,-0.0810128146356191,-0.0510266924058454,NA,1.15332486018646,-0.123096758609265,NA,NA,-0.132948114680596,NA,-0.107369911569627,-0.128927656009832,-0.0820622758628758,-0.0704782941825459,NA,-0.0763696189411053,-0.0945243524957702,NA,NA,NA,NA,NA,-0.0348900545740584,NA,NA,NA,-0.0652835091978669,-0.0899414670353799,-0.0853342302209369,-0.136135685561383,-0.100986474776679,-0.112370417530913,-0.0857156808979875,-0.0478123126888871,NA,-0.0954889350422431,-0.0946409953016207,-0.0495186317672449
mediansX.Cs133.Di,-0.115430995817983,-0.108737543838062,-0.100341716942842,-0.108403338334767,-0.149174946506432,-0.126001081307653,-0.156054094339045,NA,-0.091704537539357,-0.0749707767281888,NA,NA,-0.103142902028344,NA,-0.0808202698876199,-0.0256908586420762,-0.102086528457077,-0.0162037687546625,NA,-0.125940851055091,-0.0793046348479758,NA,NA,NA,NA,NA,0.153317149100593,NA,NA,NA,-0.133066537182123,-0.0680663349949477,-0.0812963614415174,-0.119733669334073,-0.0900949897485485,-0.104227976915828,-0.0371622373295421,-0.089746165308788,NA,-0.0961636943906679,-0.101744245748213,-0.102870358569902
mediansX.La139.Di,0.237145764896657,-0.040838760369296,-0.0361863777097422,-0.0786925048362554,0.326224850879515,-0.0527874672655721,0.0424426427384496,NA,-0.155700391346161,-0.0748130135887902,NA,NA,0.131593533256667,NA,0.335221704036672,-0.0120678431218902,0.0133969039706938,-0.178198513298284,NA,0.0899330753245727,-0.0664636624327823,NA,NA,NA,NA,NA,0.0352257264054406,NA,NA,NA,-0.0763620700909695,0.614641144119708,0.17368517142086,-0.058590285932136,-0.0977269259840838,0.874119458755445,0.281580156906573,-0.0530340658955681,NA,0.19943787520937,-0.0205022947053653,-0.0282873336118813
mediansX.Ce140.Di,-0.0349851060657911,-0.0575364057346702,-0.0818489247947589,-0.096759009500801,-0.0386897602667452,-0.0817050356780493,-0.147717806881445,NA,-0.0327684675378373,-0.0773852407907359,NA,NA,-0.143459035738112,NA,-0.150888984523529,-0.132859467926997,-0.0778432809743444,-0.0599777509777914,NA,-0.0974273901860018,-0.156589201042156,NA,NA,NA,NA,NA,-0.0218184251478035,NA,NA,NA,-0.105387713778231,-0.0228742663642338,-0.151602689770726,-0.0608507654527798,-0.15603696114318,-0.0521144591607118,-0.11072515461816,-0.0384230040970976,NA,-0.0499232523651724,-0.0794691510248239,-0.0736178085242159
mediansX.Pr141.Di_clust,0.396455104216342,0.579867675075265,0.313763821755838,1.17157027356262,1.50269149382959,1.07997073353348,0.353508260198774,NA,0.951689457834507,1.01189472851839,NA,NA,1.07169844777821,NA,0.32287460444239,0.385149119279917,0.465166457352565,0.442322962586639,NA,0.441042041774497,1.00379618650885,NA,NA,NA,NA,NA,0.751216046243571,NA,NA,NA,-0.140307612784336,-0.0912821540563205,0.105662213122367,0.502586855143072,0.922662319932552,0.464180986970629,0.162140749440061,0.507727949077076,NA,-0.0302037120206508,0.071958039809498,0.313271468628954
mediansX.Nd142.Di_clust,0.106540166054436,0.0262436492528794,-0.0134009032403823,0.00918908885646574,0.3770642478671,0.0272765071352288,0.280350716358024,NA,1.4034956994262,0.177999078883277,NA,NA,0.020283160582423,NA,-0.137134852191981,0.0957138972335226,-0.00474930333836174,-0.0599245600418647,NA,0.0533254495439127,0.310545172425624,NA,NA,NA,NA,NA,-0.116592963364079,NA,NA,NA,-0.106264293786525,-0.163001285158442,0.0363406564508839,-0.0936884573178707,0.306009094708635,1.31284876245269,-0.0510885296640148,-0.062885065158193,NA,0.0656237722742836,-0.0530131424326515,0.16236821598345
