-21270	-40386
-32809	-40359
-37629	-39713
-33030	-39784
-32976	-40581
-33131	-34605
-40062	-40629
-32849	-40427
-35826	-40275
-25610	-39050
-34774	-39968
-40023	-40348
-5485	-17482
-33119	-35328
-12410	-17133
-3268	-3596
-36849	-38374
-35586	-40187
-16467	-24578
-33369	-34919
-35879	9
-34834	-40549
-39821	-39917
-9434	-12367
-3605	-37336
-33093	-39962
-29406	-35433
-3659	-20722
-33263	-39753
-35251	-38682
-29532	-33106
-2378	-3461
-16172	-17760
-2136	-39583
-39944	-40290
-34970	-40525
-3600	-37535
-28368	-39467
-809	-41502
-32721	-40450
-9648	-17866
-38008	-39812
-38039	-38623
-36099	-38365
-32811	-39648
-32993	-40301
-32787	-40445
-39038	-41101
-3730	-40369
-36022	-37833
-35999	-37968
-6083	-9567
-29272	-31412
-36932	-38144
-36982	-40487
-18399	-41239
-38074	19
-34937	-38815
-2485	-2492
-39258	46
-31709	-33095
-2987	-41193
-23684	-35501
-2883	-22156
-6252	-12354
-37807	-38173
-35569	-38178
-34968	6
-2599	-39121
-29502	-39029
-36146	-37849
-3102	-37822
-39657	-40364
-32991	-37793
-2546	-38407
-6002	-6364
-38303	54
-24314	-24824
-33737	-39289
-35364	-36070
-23765	-33213
-17704	-17748
-6072	-40328
-10225	-31083
-35466	-38515
-39412	-40582
-35097	-39818
-32931	-40284
-469	-10061
-3729	-40418
-3506	-35457
-3131	-39478
-32864	-40556
-39663	-40577
-12714	-15642
-39280	-40050
-29352	-39008
-3217	-38315
-3716	-24288
-33017	-35597
-35469	-40367
-36678	-39718
-32302	-37430
-38608	-40266
-32813	-39218
-5690	-7937
-35693	-40564
-3629	-39441
-3049	-34891
-6099	65
-32661	-39213
-3133	-40416
-28515	12
-9171	-17296
-3283	-39693
-40043	57
-2654	-18128
-2314	-3604
-39139	8
-32675	-38372
-29664	-29911
-12416	-12495
-17872	-18044
-897	-31763
-34419	-41548
-1711	-35187
-9851	-31433
-27820	-38635
-944	-8884
-2275	-39228
-33088	-35407
-29592	-38591
-29168	-31430
-31830	-40999
-12275	-13796
-1848	-32793
-40262	-40291
-9779	58
-35543	-40246
-21196	-40252
-35573	-40053
-35248	-36302
-3496	-39725
-9745	-17318
-38776	-39880
-3647	-19185
-3457	-20104
-3189	-35926
-9533	-16899
-36778	-41555
-32301	-32602
-34490	-36210
-5580	-31409
-3911	-10782
-3538	-32968
-9990	-23991
-3218	-39953
-5835	-8656
-3699	-39960
-3319	-26355
-18210	-39192
-36058	-38581
-11829	-12304
-39799	48
-33128	-39954
-34048	-36921
-37014	-37084
-6219	-26199
-20064	-36295
-16390	-25210
-3136	-35680
-25191	-29464
-2906	-3771
-18267	-20207
-2170	-3484
-38529	-39797
-20469	-34922
-17541	-25579
-1925	-39785
-11960	-12109
-32736	-36190
-36067	-38662
-1439	-21985
-5953	-11797
-34955	-40566
-16094	-40392
-24949	-31434
-32767	-40475
-9048	-37357
-3510	7
-37861	-41170
-35622	-37377
-34468	-36891
-34797	-35263
-3194	-39691
-12137	-31153
-39906	-40518
-12947	-16650
-18493	-39210
-35386	-39526
-37634	-41485
-11761	-31166
-34867	-40067
-32872	-39700
-32783	-34563
-19606	-39282
-38226	-38359
-29390	-29583
-35350	-39534
-3418	-35670
-37682	-39146
-12268	-12277
-2934	-19644
-36788	-37082
-32496	-39112
-2756	-39695
-16278	-29224
-38463	-39196
-10253	-12052
-2806	-3691
-38453	-40306
-33773	-40188
-3172	-41194
-25404	-41176
-6305	-17882
-2380	-2940
-32903	43
-35449	-38876
-32977	-40298
-25248	-26228
-35654	-37405
-39427	-40066
-29480	31
-32936	-39303
-15994	-16984
-2198	-35764
-2928	-33706
-2530	-3778
-3095	-40829
-3297	-21473
-39986	26
-38047	-41561
-33111	74
-9673	-17683
-38230	-38541
-29543	-35357
-2674	-32772
-5737	-10086
-21163	-36091
-31533	-33144
-16892	-17026
-12107	-17451
-10009	-10076
-11790	-11820
-33100	-35664
-34688	17
-2052	183
-2469	-41122
-32933	-38088
-38984	-40485
-32744	-40439
-17470	-36442
-3474	-39126
-16171	-25597
-2145	-36013
-13036	24
-17592	-25287
-13153	-16721
-38770	-39889
-6184	-9870
-16514	-23831
-19945	-20646
-36029	36
-37808	-38650
-17724	-19714
-34796	-37799
-2226	-32467
-29780	-31644
-31449	-35232
-32619	237
-37314	-38439
-1299	-14604
-25029	-38922
-3309	-40149
-39040	-40576
-9687	-16339
-37957	-39469
-5897	212
-9958	-16145
-38134	23
-35377	-38177
-35690	-37029
-9461	-11917
-38533	-39240
-28041	-41563
-36057	-37158
-28126	-28131
-3289	-39856
-29590	-38305
-32402	-37120
-37775	-38364
-37809	-38568
-6127	-8836
-2059	-17346
-35155	-40229
-6276	-33040
-32917	-38496
-2353	-39089
-7377	-17083
-16577	-24291
-17406	-27464
-38129	-38929
-37197	-40274
-25333	-27585
-35237	-35473
-37579	-39872
-9027	-36226
-35435	-35842
-33398	-40104
-34343	-39117
-1391	-25435
-3326	-40966
-5568	-17199
-34939	-35874
-3264	-3282
-34844	-38328
-35396	-40296
-39848	-40543
-1652	-24838
-38544	37
-31684	-40572
-34917	-35675
-16699	-21397
-2115	-3619
-8280	-11372
-17147	-23936
-18804	-35434
-38614	-39205
-10035	-41337
-3351	-38376
-2311	-35787
-20211	-38795
-5069	-12906
-6067	-31707
-11287	-14670
-3725	-37411
-9872	-31112
-35497	-37025
-35162	-40466
-34831	-39028
-18312	-21479
-33276	-39696
-29285	-31350
-12139	-27533
-2948	-32380
-41066	-41366
-38788	45
-5966	-6309
-29725	-33110
-24551	-27586
-24364	-34940
-34835	-39413
-9989	-35705
-617	-32145
-35131	-39823
-12218	-13854
-3378	-38627
-32261	-40191
-2229	-39926
-7116	-12293
-23663	-39678
-3354	-19139
-2809	-3265
-3108	-38318
-41308	-41456
-38927	-40128
-34779	-39810
-16705	-16797
-29483	-30911
-32747	-40515
-38062	-40532
-32778	-39165
-18940	-19272
-31571	97
-11915	-12852
-3661	-20230
-38875	162
-2320	-3649
-34879	-35658
-3065	34
-27559	-36337
-35101	-35620
-13013	-29337
-1435	-28422
-2596	-39738
-2704	102
-11992	184
-27846	-35706
-11996	-24286
-39554	-39869
-1736	-17131
-28193	-31194
-16294	-31225
-29323	15
-38847	-39011
-18000	-20708
-35677	66
-3723	-26914
-3412	-33019
-33034	-40679
-3537	98
-1413	-1950
