"ID","count","mediansTime","mediansCell_length","mediansX.Rh103.Di","mediansX.Xe131.Di","mediansX.Cs133.Di","mediansX.La139.Di","mediansX.Ce140.Di","mediansX.Pr141.Di_clust","mediansX.Nd142.Di_clust","mediansX.Nd143.Di_clust","mediansX.Nd144.Di_clust","mediansX.Nd145.Di_clust","mediansX.Nd146.Di_clust","mediansX.Sm147.Di_clust","mediansX.Nd148.Di_clust","mediansX.Sm149.Di_clust","mediansX.Nd150.Di_clust","mediansX.Eu151.Di","mediansX.Sm152.Di_clust","mediansX.Eu153.Di_clust","mediansX.Sm154.Di_clust","mediansX.Gd155.Di_clust","mediansX.Gd156.Di_clust","mediansX.Gd158.Di","mediansX.Tb159.Di_clust","mediansX.Gd160.Di_clust","mediansX.Dy161.Di_clust","mediansX.Dy162.Di_clust","mediansX.Dy163.Di","mediansX.Dy164.Di_clust","mediansX.Ho165.Di_clust","mediansX.Er166.Di_clust","mediansX.Er167.Di_clust","mediansX.Er168.Di_clust","mediansX.Tm169.Di_clust","mediansX.Er170.Di_clust","mediansX.Yb171.Di_clust","mediansX.Yb172.Di_clust","mediansX.Yb173.Di","mediansX.Yb174.Di_clust","mediansX.Lu175.Di_clust","mediansX.Lu176.Di_clust","mediansX.Ir191.Di","mediansX.Ir193.Di","mediansFileNum","mediansdensity","raw_mediansTime","raw_mediansCell_length","raw_mediansX.Rh103.Di","raw_mediansX.Xe131.Di","raw_mediansX.Cs133.Di","raw_mediansX.La139.Di","raw_mediansX.Ce140.Di","raw_mediansX.Pr141.Di_clust","raw_mediansX.Nd142.Di_clust","raw_mediansX.Nd143.Di_clust","raw_mediansX.Nd144.Di_clust","raw_mediansX.Nd145.Di_clust","raw_mediansX.Nd146.Di_clust","raw_mediansX.Sm147.Di_clust","raw_mediansX.Nd148.Di_clust","raw_mediansX.Sm149.Di_clust","raw_mediansX.Nd150.Di_clust","raw_mediansX.Eu151.Di","raw_mediansX.Sm152.Di_clust","raw_mediansX.Eu153.Di_clust","raw_mediansX.Sm154.Di_clust","raw_mediansX.Gd155.Di_clust","raw_mediansX.Gd156.Di_clust","raw_mediansX.Gd158.Di","raw_mediansX.Tb159.Di_clust","raw_mediansX.Gd160.Di_clust","raw_mediansX.Dy161.Di_clust","raw_mediansX.Dy162.Di_clust","raw_mediansX.Dy163.Di","raw_mediansX.Dy164.Di_clust","raw_mediansX.Ho165.Di_clust","raw_mediansX.Er166.Di_clust","raw_mediansX.Er167.Di_clust","raw_mediansX.Er168.Di_clust","raw_mediansX.Tm169.Di_clust","raw_mediansX.Er170.Di_clust","raw_mediansX.Yb171.Di_clust","raw_mediansX.Yb172.Di_clust","raw_mediansX.Yb173.Di","raw_mediansX.Yb174.Di_clust","raw_mediansX.Lu175.Di_clust","raw_mediansX.Lu176.Di_clust","raw_mediansX.Ir191.Di","raw_mediansX.Ir193.Di","raw_mediansFileNum","raw_mediansdensity","cvsTime","cvsCell_length","cvsX.Rh103.Di","cvsX.Xe131.Di","cvsX.Cs133.Di","cvsX.La139.Di","cvsX.Ce140.Di","cvsX.Pr141.Di_clust","cvsX.Nd142.Di_clust","cvsX.Nd143.Di_clust","cvsX.Nd144.Di_clust","cvsX.Nd145.Di_clust","cvsX.Nd146.Di_clust","cvsX.Sm147.Di_clust","cvsX.Nd148.Di_clust","cvsX.Sm149.Di_clust","cvsX.Nd150.Di_clust","cvsX.Eu151.Di","cvsX.Sm152.Di_clust","cvsX.Eu153.Di_clust","cvsX.Sm154.Di_clust","cvsX.Gd155.Di_clust","cvsX.Gd156.Di_clust","cvsX.Gd158.Di","cvsX.Tb159.Di_clust","cvsX.Gd160.Di_clust","cvsX.Dy161.Di_clust","cvsX.Dy162.Di_clust","cvsX.Dy163.Di","cvsX.Dy164.Di_clust","cvsX.Ho165.Di_clust","cvsX.Er166.Di_clust","cvsX.Er167.Di_clust","cvsX.Er168.Di_clust","cvsX.Tm169.Di_clust","cvsX.Er170.Di_clust","cvsX.Yb171.Di_clust","cvsX.Yb172.Di_clust","cvsX.Yb173.Di","cvsX.Yb174.Di_clust","cvsX.Lu175.Di_clust","cvsX.Lu176.Di_clust","cvsX.Ir191.Di","cvsX.Ir193.Di","cvsFileNum","cvsdensity","percenttotal"
1,32,11.4718888119093,2.42379204358752,-0.083773304458178,-0.0592569773228426,-0.105315349344337,-0.0827766244114401,-0.0988954624348236,3.21217964569194,0.430750935768561,0.229893124437525,0.385665825207337,1.12764030477388,1.63611760348069,0.126907733183078,0.334574066918786,1.09237022004759,1.14892616015771,-0.0787599941558703,0.122003488993717,2.2316865633006,0.243800515120109,0.0792510044519726,-0.0317534672799233,-0.0731238043275625,-0.0193589138360989,-0.0268199945010469,0.663359298336153,0.667151269910006,-0.0785993780221062,0.88422777972619,0.813219203014189,0.97825465239378,0.347782044892949,0.157618809811748,0.643550809741802,0.712773329624094,2.25636607767039,0.327674919750666,-0.06532357876149,0.0500879714274358,1.5688608757884,0.521439205271775,4.48074660874688,5.20952539577784,0.205927503641432,8.50362155166473,245029.5,28,-0.419356971979141,-0.296464949846268,-0.527554541826248,-0.414356023073196,-0.495283797383308,62.0257892608643,2.2210681438446,1.15970122814178,1.97682052850723,6.91140985488892,12.357919216156,0.636264026165009,1.70430928468704,6.61911845207214,7.09457802772522,-0.394210234284401,0.611571729183197,23.0222644805908,1.23231339454651,0.396690264344215,-0.158796101808548,-0.365986406803131,-0.0968021228909492,-0.134132063016295,3.56578826904297,3.59086036682129,-0.393406584858894,5.02053833007812,4.53050017356873,5.71038603782654,1.77420622110367,0.791362047195435,3.45891678333282,3.87717735767365,23.6090002059937,1.66859132051468,-0.326850548386574,0.250568829476833,11.5153884887695,2.72744226455688,220.723457336426,457.50439453125,1.03693133592606,12331.5,8.02496134656782,7.62709767352502,58.6031826721979,773.408272956197,55.2419418001715,835.145598586187,169.259187315817,18.0251439638337,97.0401583925282,95.6840901002705,101.14523368154,20.9873362399283,26.5646090585416,198.136613669967,107.310895308608,44.0646911233428,40.4116455659376,1540.92531227272,156.779321162376,25.3416397768258,109.117412886426,165.343804512575,421.562098579791,354.883129666715,1130.52232946656,276.551110524537,72.0147752157359,74.0918550633519,334.845394100795,73.4242773954594,64.8305530518382,45.0433417854421,112.396689767981,149.757730113156,63.9213232683444,66.1243988738182,21.3703091169212,137.644379310349,246.141758043301,211.712350423203,35.374192880723,63.7349811238359,5.94548192459177,4.57667179203548,33.5275087337498,0.00743533423103009,0.259487512163477
2,23,12.3679227514334,2.38801132228465,-0.0948295898139774,-0.104560931650861,-0.0825320555054305,-0.0938122149642371,-0.0630161548236097,0.943941641641586,2.61453895868266,0.336571404267727,3.79969755405217,1.02448725912882,1.89675266485215,0.093227150990995,0.253956027708161,2.45641568346495,0.461486893956142,-0.0752487562818182,-0.0317414714322391,1.82490878913151,0.0524600772582561,-0.00930901433816657,-0.0619433096322344,-0.0523234542681304,-0.114732287861063,0.292509761535296,0.0721652594924728,0.158814403024763,-0.115170108780177,0.143803543319991,0.54654328809676,0.391775800694163,-0.00806397028090534,2.47651825298738,1.43299738376335,2.75268759477802,1.48932482063631,0.0021910325788635,-0.0670558043113271,-0.0194082949916096,0.581033528247113,0.23487393473704,4.22014898503188,4.98865686189773,0.216519819348777,8.50358100510031,587842,27,-0.474858909845352,-0.523757815361023,-0.413128912448883,-0.469749391078949,-0.315289348363876,5.45250177383423,33.9692878723145,1.71480989456177,111.663223266602,6.06671571731567,16.2854080200195,0.466811269521713,1.28347301483154,28.9429779052734,2.39021348953247,-0.376598954200745,-0.158734008669853,15.1024923324585,0.26242071390152,-0.0465457439422607,-0.309914648532867,-0.261736661195755,-0.574920833110809,1.48349463939667,0.361139565706253,0.797414243221283,-0.577124416828156,0.721498429775238,2.87081098556519,2.00937581062317,-0.0403202883899212,29.5393123626709,9.88162612915039,39.052433013916,10.5214395523071,0.0109551716595888,-0.335530340671539,-0.0970475673675537,3.07141327857971,1.18519699573517,170.072311401367,366.830963134766,1.09107780456543,12331,8.40468812408212,7.11553206764488,56.1474667787409,257.406333842572,185.456475647402,171.270361601605,1277.43679747626,46.370378679839,29.7479454429838,100.225743254992,14.1228878752266,25.1915863132557,24.4336785927454,285.742755682708,117.639723409244,21.1993183680037,73.6426462799789,266.464846887528,1038.1372054258,31.0569982490152,276.026072669859,562.929586119384,345.405362124183,409.619616788882,150.084542260274,100.271013124675,173.966816083545,162.859377117335,80.1884103105149,170.425326420765,76.8316042781355,117.109260171897,300.503190747194,25.2994330867054,39.8666206685752,36.812089719097,37.9394176166618,232.393860922712,1866.4868730558,1210.54367693696,106.859757120021,124.453421802045,7.68720986882617,6.11165482040886,34.055131346452,0.0106089991541844,0.186506649367499
3,87,11.8159620512737,2.31243834127275,-0.121803975510191,-0.0957669048974605,-0.103556042666432,-0.0400218805573276,-0.0809825157110271,0.447216235649398,-0.00867514383329499,0.766869600980054,0.753414308310342,2.52482148040751,2.19270239775719,-0.0449559520402772,0.231376486028525,0.372612465518336,-0.0145815956957585,-0.0754920802839038,-0.055703778180328,2.24563571165841,2.14186015054184,-0.00698789408013786,-0.0618216749464723,-0.0645250705567676,-0.0668072020312848,-0.0714522660281771,1.21623144944889,0.0779909856888355,-0.0869870910177845,-0.0434454905415644,-0.0621604722075013,0.0185012186581624,-0.0766957190126107,0.310044331253267,0.343034749124058,-0.0632124352462918,1.03723154214373,-0.0189547200380593,-0.0833597199139122,-0.0542115829825519,0.0486883002166197,0.0921139361586395,4.13975478810766,4.85477795458741,0.203214166105439,8.50358100510031,338491,25,-0.610526919364929,-0.479566782712936,-0.518706142902374,-0.200162827968597,-0.405355304479599,2.31136703491211,-0.043376263231039,4.22137784957886,4.13370990753174,31.0214824676514,22.1194438934326,-0.224855482578278,1.16723239421844,1.90647387504578,-0.0729105621576309,-0.377819031476974,-0.278662949800491,23.3513965606689,20.9945659637451,-0.0349397547543049,-0.309305310249329,-0.322849273681641,-0.334284543991089,-0.357565402984619,7.69525527954102,0.390350371599197,-0.435484170913696,-0.217295795679092,-0.311002552509308,0.0925113707780838,-0.383854657411575,1.57517778873444,1.74901044368744,-0.316272705793381,6.1674017906189,-0.0947792753577232,-0.417281478643417,-0.271190702915192,0.243537694215775,0.461221277713776,156.928741455078,320.860992431641,1.02307856082916,12331,8.53120983419053,8.19974392777401,51.9076078627148,207.32571566829,65.0119477962692,948.661138055096,161.399788544853,96.1341542707921,355.566388329083,46.739109581419,66.1708243610543,15.7338813460171,21.6367647625029,1378.46093798444,116.235139973331,98.3617829815663,423.323006520118,193.651154221172,599.653674553264,21.459248808053,24.377008964899,402.03135435067,929.086651412346,228.302839601261,746.738228245272,242.36753742189,42.3358295050052,195.213275651707,927.338827136442,599.787115632804,1120.15371703008,264.823625364528,192.358876050725,110.512794796066,95.6580255914055,5237.2395340881,54.5384618553598,306.5932118956,145.359003929603,3044.57248922191,252.629511452325,207.390185308736,7.93046148441383,6.08540049281855,35.0344556272283,0.001453085517529,0.705481673694453
4,97,12.3845166945152,2.14211190823691,-0.0932696074351591,-0.0869002001606177,-0.0867168145414974,-0.0605855613700867,-0.0751775811342816,0.226464470874479,-0.0231007146116487,0.135285580263397,1.31176075985321,1.79488518372168,2.2629908209704,-0.00950507514182278,1.20466887176422,0.771840646312379,-0.0334736238687575,-0.0879104877050468,-0.0785541685845828,2.39080816217043,0.164900632490993,0.179455486051972,-0.108845228158365,-0.105961385256032,-0.0734264407441478,-0.0655094460572822,0.329961772387867,0.101018774010084,-0.0919322561401692,-0.0194878104312052,-0.0486931671259861,-0.0578605807716016,-0.0158530792138309,0.26625874436789,0.0846572496682058,-0.041275447955866,0.510133283729167,0.533711560965356,-0.0283775001091118,-0.0689851520462964,-0.0380932285480628,-0.000511458866351171,4.21721904625132,4.96614055293203,0.218189866420448,8.50358100510031,597678,21,-0.467024475336075,-0.435048073530197,-0.434127688407898,-0.303113162517548,-0.376242071390152,1.1420259475708,-0.115513846278191,0.678493142127991,8.60839939117432,14.6315927505493,23.7693862915039,-0.047526091337204,7.5896577835083,4.25395917892456,-0.167399376630783,-0.440118819475174,-0.393174916505814,27.076904296875,0.828244924545288,0.902101218700409,-0.545301377773285,-0.53079891204834,-0.367462188005447,-0.327781558036804,1.67990934848785,0.505953371524811,-0.460309028625488,-0.0974452197551727,-0.243562057614326,-0.289464354515076,-0.079268716275692,1.34707963466644,0.423792034387589,-0.206435844302177,2.66274404525757,2.79706335067749,-0.141906544566154,-0.345199406147003,-0.190512210130692,-0.0025572944432497,169.574523925781,358.662811279297,1.09962606430054,12331,7.14389089197758,6.52577047404983,59.1030513432672,100.865569234046,61.7118606102424,3243.25506930207,113.608466810819,114.309618219635,371.660015529914,150.856879420664,42.9791801734983,25.4020809755318,23.593590253657,403.074165970618,55.5168585701313,66.4331597608703,498.762792595266,264.403273196606,452.91785123856,21.4792870653893,147.266955282005,144.029017176683,293.038006489013,73.3296378838196,1082.0944325839,2481.03606958784,119.136532876588,201.485744765802,111.757280970413,355.917509752678,1909.00229305297,1198.17795283206,326.141106778351,129.905230211991,194.911151696263,636.464574530873,95.2661423148082,98.561556155947,431.747753143792,5008.69145469887,304.072984833659,299.560102742652,6.70903087005386,5.75945931095688,32.6542031923334,0.000721928424507028,0.78657152124554
5,188,12.2938684677091,2.2724413273866,-0.0965976553742186,-0.0997545421920322,-0.0953258101196568,-0.0430666220868938,-0.06680249533545,0.635019719081092,-0.0426868786628969,0.807650057093162,1.48343948748303,2.53617897848729,2.42986991572455,-0.0383640210727222,0.733490797621127,0.495049909458238,-0.0103520704804908,-0.0795234608833459,-0.031161026000084,2.38916465446406,2.26372297406749,-0.0349979068314139,-0.0789268668037486,-0.0987725905166427,-0.0657566645151613,-0.0442703669272332,0.882531960011122,0.109964882540931,-0.0851573506780985,-0.0314095460915108,-0.0484752817393751,0.0374832661148225,-0.0902845400858805,0.389240621447087,0.440757173389488,-0.0572619078775856,0.885892803526524,0.0497685527914827,-0.07877004632337,-0.0644415364186809,0.13018092894012,0.074168569252702,4.19011376799105,4.9354194785239,0.208547341640239,8.50358100510031,545883,24,-0.483739763498306,-0.499600425362587,-0.477351456880569,-0.215400241315365,-0.33426108956337,3.3928394317627,-0.213499218225479,4.49181795120239,10.4530854225159,31.3804197311401,28.1733989715576,-0.191867165267467,4.00527942180634,2.57760834693909,-0.0517613384872675,-0.398036524653435,-0.155830346047878,27.0316896438599,23.7872486114502,-0.175025261938572,-0.395044237375259,-0.494666367769241,-0.329020813107491,-0.221424609422684,5.00819492340088,0.550934463739395,-0.426301628351212,-0.157073624432087,-0.242471344769001,0.187460236251354,-0.45203623175621,1.99572420120239,2.27585542201996,-0.286466032266617,5.03202319145203,0.248945638537407,-0.39425764977932,-0.322430744767189,0.652744770050049,0.371184453368187,165.038131713867,347.811157226562,1.05031162500381,12331,8.00017135799407,8.38798024168636,64.6535107623478,189.597806508864,66.0097112764357,2717.37719718974,242.560370113918,82.4826412179568,541.219316151876,41.5827268859725,35.7428158843731,19.8532469799571,19.0428084398602,1174.54975966168,70.8303705761052,92.3907117327705,338.937426373594,234.430176102553,604.159210061533,23.965812871125,32.3367655193877,712.142488705954,1914.22579354609,93.9779916821611,6924.78106565667,953.907110008236,74.6807412411897,170.925770891693,142.48390089188,367.311887336558,1354.32039969532,240.881950662454,210.833655374596,97.9701333936271,101.369256359977,2039.22803307718,71.7042707146137,213.862659974058,196.674022730389,2243.5261171731,169.680466919006,189.57635198985,8.0833451203251,6.22862791457502,34.4674776559364,0.00109972329761632,1.52448913396043
6,22,11.8462103393464,2.35092571975091,-0.130865560862815,-0.0651745668533811,-0.10230027894392,-0.11228365945179,-0.067246645835484,0.673845246027475,0.0127233954800903,0.043987690095721,2.17646527895401,2.23894465581537,2.4231775794596,0.0565275469723057,2.86819994156187,1.14073465711113,0.0869958004471462,-0.0804851891972676,-0.0769854004518282,2.90951610037595,0.20699121240175,1.7997644663398,-0.0557475072411444,-0.117951300308527,-0.10663446827635,-0.0326870670736632,0.993064479584088,0.321946319675468,-0.0912143499216745,0.44693310220867,0.0502839942456149,0.0342074193666738,1.54225367330455,0.840148613064546,0.638584593715498,-0.0668535133901034,1.79843764417561,0.966245800687143,0.0737571891552519,0.0483215137885404,0.320960141624515,0.182594615227027,4.13406986353963,4.90257131930907,0.207910754232101,8.50366209822915,349379.5,26,-0.656198471784592,-0.326106384396553,-0.512394160032272,-0.562601298093796,-0.336536169052124,3.6335461139679,0.0636316947638988,0.220020949840546,21.7565155029297,23.1947727203369,28.0159931182861,0.282790571451187,43.9156608581543,7.02370548248291,0.435692206025124,-0.402861252427101,-0.385308906435966,45.7380084991455,1.04250347614288,14.7627902030945,-0.278882324695587,-0.5911765396595,-0.534191697835922,-0.163481954485178,5.82275342941284,1.63768482208252,-0.456705689430237,2.31291651725769,0.251527160406113,0.17126127332449,11.1551141738892,4.71305799484253,3.41507422924042,-0.334519490599632,14.7085943222046,5.62505722045898,0.369133561849594,0.24170708656311,1.63364255428314,0.91817307472229,156.112670898438,336.851196289062,1.04706031084061,12332,8.31750625598413,6.26687923858882,62.2004239571831,110.512103361346,72.7257754333792,173.695262072092,155.672856139938,83.1750411028314,351.090807504278,335.413488018677,23.8477214653619,22.5706366229148,14.0891830104308,219.989279639037,25.2514697082004,53.9908595171083,238.767316092302,349.635932558843,156.720117351574,12.5331080745744,139.366953447219,41.3494403025463,435.377523110708,77.7930919975273,178.948644848997,349.80713429685,58.123379293357,113.457174707878,1528.47271370858,90.6867067391935,183.033056020241,271.235844446887,51.2934310432326,43.886969086703,83.3514552454212,974.483835020969,32.4138040261672,70.5992613674714,230.094341686912,244.34552096587,118.11521438486,109.851244695061,7.16700057575715,5.78160683613563,34.0136025614465,0.00155754569130614,0.178397664612391
7,277,12.2669889895196,2.2724413273866,-0.0918417889269412,-0.0899389024943098,-0.0967434817158792,-0.0450774075287369,-0.0909891096988884,0.351127552282382,0.0238927802421579,0.819439081490612,0.866239136203158,2.43626936958861,2.43944174289959,-0.0311294285354075,0.48019213906341,0.433965469931004,-0.0351461319551355,-0.0745506409785367,-0.0205957037736861,2.54014389047098,2.49319173554067,-0.0254337337106909,-0.0696230937774175,-0.0963776543596375,-0.0616357290486976,-0.0605123104477839,0.538703222245114,0.0981607194233296,-0.0865067336934923,-0.0357683083339935,-0.0422959450383855,0.024753157166555,-0.0705084566443976,0.18246646258579,0.320080472569277,-0.0508823272459698,1.23228813782634,0.0407087859313884,-0.0853588050666702,-0.0432838308561755,0.0881229237670617,0.12588654858316,4.26512645180724,4.96455742984879,0.209477725252821,8.50358100510031,531405,24,-0.459854781627655,-0.450301021337509,-0.484472304582596,-0.225463375449181,-0.455573558807373,1.79193639755249,0.119475267827511,4.57136964797974,4.89355182647705,28.3570804595947,28.4485702514648,-0.155672281980515,2.49430108070374,2.23857736587524,-0.175766840577126,-0.373098582029343,-0.102985799312592,31.5066013336182,30.0429706573486,-0.127182379364967,-0.348396778106689,-0.482634633779526,-0.308373808860779,-0.30274623632431,2.82569646835327,0.491592168807983,-0.433073341846466,-0.178879678249359,-0.211542785167694,0.12377842515707,-0.352834463119507,0.917403280735016,1.62786996364594,-0.254521429538727,7.84360551834106,0.203600153326988,-0.42731249332428,-0.216486737132072,0.441185116767883,0.631096541881561,177.899673461914,358.095397949219,1.05506551265717,12331,8.59830121062124,7.3939421045692,65.4960765700837,424.448906030775,73.2851583786735,1487.07180869942,113.203932756329,103.730825011633,301.478365650872,39.6294098369046,65.462512283764,20.8343184825619,18.6312453115924,521.746333558204,97.7897483198281,87.2959908171016,563.749115496864,354.819271978383,390.495703546373,18.8786123857932,25.6563011771921,569.391481948742,464.489167331405,106.039802176138,14227.2184235065,1199.22284917499,84.3727975864454,176.520101303462,121.273183990478,401.857084310995,562.978672637188,265.285119275533,309.568078033468,139.720814752314,107.63333916741,2360.77137805784,54.4495364166574,236.500199183398,226.00176404352,3069.57246274317,214.316961329099,157.804911838839,7.02292404564576,5.43309677231639,34.3693901097615,0.00147486697085764,2.2461887771651
8,8,11.9934842126756,2.3502248317787,-0.131677730040873,-0.0948154585507303,-0.11734160992167,0.0189267038127785,-0.0893327455307603,1.33145159330227,0.639820171368873,0.690330114478317,1.4520781247675,2.38792250368305,2.33277607162529,0.471091000049978,2.10166159151966,5.23375966648663,0.144475409105526,-0.100373251716723,0.207619364913634,1.82605627315655,0.878693681627436,0.13833078080898,-0.113488592008273,-0.108048237435167,-0.0621628532432017,0.00629037729876002,0.187507766458371,-0.0103086472155887,-0.0185415848260172,0.00371889343390389,0.553439041885541,0.208840363748681,-0.0704563380420885,0.797055948087343,0.354523560286657,-0.0205072409896125,1.64544330454713,1.07926529099612,-0.0800241249647511,-0.087208321922905,0.23815436339006,0.0675818881147128,4.3374371729281,5.00371673688024,0.18629252770147,8.50354045524757,404246.5,26,-0.660681992769241,-0.474807471036911,-0.588055908679962,0.0950251817703247,-0.447430789470673,8.88125252723694,3.49052512645721,3.7453418970108,11.685010433197,27.5408544540405,25.533992767334,2.45171880722046,20.9586334228516,471.420928955078,0.725219547748566,-0.502709537744522,1.04812780022621,15.1395726203918,5.07289040088654,0.700963133946061,-0.568887665867805,-0.541302859783173,-0.31112165004015,0.0314599797129631,0.943855851888657,-0.0515444204211235,-0.092714000493288,0.0186303406953812,2.91097843647003,1.0651136636734,-0.353372820653021,5.01694214344025,1.81094694137573,-0.102544721215963,12.8785829544067,8.98884290456772,-0.400570288300514,-0.436605870723724,1.20304188132286,0.338258497416973,191.471923828125,372.411849975586,0.936862081289291,12330.5,6.37584733299567,7.52224279061038,40.371214772016,171.027032149903,44.8292989829754,335.568019987681,289.2471329552,53.1579947497658,93.0933438245016,91.0267807849882,67.8250269637242,27.7489963791446,19.2974334820365,88.8202291558858,65.7727790298592,28.3988679672079,167.838993501364,831.679569557681,115.182447205881,55.0796197078371,96.2921736399328,142.166910436712,151.659252391914,109.270222232866,728.436311936416,790.032641446457,130.259583755514,365.669091060443,464.309593735584,677.368726213351,63.4977138072061,139.692823594851,252.551134893738,96.5796057959776,114.422561864884,301.623589446629,57.6559664037499,115.836328714317,1307.0784781688,386.562898788383,133.135664464058,296.140569138099,6.31302485957148,4.54429170297393,34.2909110164822,0.0034185392685291,0.0648718780408693
9,14,11.0434798004215,2.42135278619791,-0.124347163880169,-0.0532169313530904,-0.116818383655655,-0.0383244354936187,-0.0887241719163011,0.641739796367154,0.187135499830435,0.0293704526277015,2.70348779541331,2.50887608982824,2.4934081853946,0.0276378146233588,3.61196557081652,1.98029780312947,0.128808834075273,-0.0938084682506113,-0.0395153574923876,2.49024124367583,0.212122739207276,2.92819609688762,0.131859365420687,-0.0420269358894037,-0.0725871914129454,0.175731928507183,1.51558426332795,1.16782183862786,-0.0488245923456645,0.358734064657081,0.0450599267257233,-0.0586166885920288,1.01189731595661,2.2239505998565,1.36719934135522,0.091108468960209,1.51094070232336,1.84917567207693,0.268359210432443,0.00455876929315041,0.00850290571875132,0.101395370771636,4.19850063673718,4.93190746599208,0.203902312393405,8.50366209822915,157965,28,-0.623339712619781,-0.266224168241024,-0.58544385433197,-0.19166973978281,-0.444476738572121,3.43354892730713,0.941311895847321,0.146873891353607,37.1627960205078,30.5248146057129,30.050838470459,0.13820669054985,92.6152305603027,17.7855968475342,0.646050125360489,-0.469735145568848,-0.197641208767891,29.9533920288086,1.06991824507713,46.6009788513184,0.66131603717804,-0.210203900933266,-0.363255426287651,0.88329091668129,10.8495268821716,7.26002478599548,-0.244224444031715,1.83247745037079,0.225417114794254,-0.293287083506584,5.97424578666687,23.1802253723145,9.18074131011963,0.456589378416538,10.7952008247375,15.5056581497192,1.36679768562317,0.0228080898523331,0.0425374396145344,0.507847040891647,166.500999450684,347.253768920898,1.0265908241272,12332,11.7056443824223,9.30515053444342,49.5144055549275,453.788944700777,105.875288719021,632.962779322034,125.933797707361,79.7747974631401,144.722882241584,291.402082127235,16.037625933179,16.9907661066874,17.6515414093482,366.942100549901,13.750251592209,28.6618618610535,135.380410943013,126.159466390014,1466.41557421195,17.9722312081882,129.719899078667,34.3368883222828,195.035479138159,228.959671557862,72.9149677560507,211.308385392846,26.2509426920791,47.4093287004559,346.651950387252,103.618046969446,196.269593251951,330.58122789044,61.8790655535168,40.2089854242531,32.4975014367842,188.541911697325,48.9573231054917,58.4740451219219,106.151123807802,367.352309470983,229.904116456757,186.130764267426,5.99694790849898,5.5123996157541,33.8240565346512,0.00711573988016444,0.113525786571521
10,28,12.1397920819558,2.31243834127275,-0.107631009149692,-0.105296109878461,-0.134180636011423,-0.0855978763895528,-0.0975566371934838,0.462397592715778,0.012990477796365,0.14408522560876,1.78722469365228,2.4950219285584,2.23163518312735,0.025094447215225,2.0131060310649,1.16074106593113,0.07575019351854,-0.0271945792301811,-0.0592818467501935,2.21738714172818,0.523936917930686,2.01345255727541,-0.0844807800696269,-0.0873713106095518,-0.100462384660848,-0.0282183563898737,0.960385596841004,0.498959129132354,-0.0418507873629852,-0.0384160911712534,0.117486046750183,0.111879377200751,0.82784259427551,1.26839601504636,0.784817573159492,-0.0532462837824303,1.20648078693716,0.863910982120307,-0.0707525621477268,-0.0506312570782462,0.117396176931339,0.199077472963317,4.06241572278593,4.85955403869339,0.208817819571894,8.50358100510031,476261,25,-0.539194703102112,-0.527455419301987,-0.672920346260071,-0.428529039025307,-0.488562539219856,2.39715957641602,0.0649647451937199,0.723083078861237,14.526547908783,30.1214838027954,23.0194358825684,0.125490237027407,18.4260368347168,7.20539951324463,0.379122510552406,-0.135993089526892,-0.296586453914642,22.6881523132324,2.74119985103607,18.3907089233398,-0.422922685742378,-0.437445521354675,-0.503167673945427,-0.141110926866531,5.57529544830322,2.60081613063812,-0.209332332015038,-0.192133873701096,0.588879406452179,0.560599714517593,4.62993097305298,8.2165744304657,4.34079837799072,-0.266357243061066,7.65469574928284,4.90855121612549,-0.354084208607674,-0.253264538943768,0.58833172917366,1.00212809443474,145.243316650391,322.57405090332,1.05169582366943,12331,9.92440388985705,9.06272181412478,77.9377058054725,660.971151427314,56.312009004102,713.953045340907,112.118474058197,83.1319980846061,329.53415649949,180.262119426085,29.9054993366763,22.9793668564459,21.149164422837,260.39163212441,45.4441746941907,49.6179158854417,225.293370354059,970.372465130903,679.433100542272,18.1813804111308,118.016154586384,39.4602302902252,421.629824579845,245.3952729534,63.6066965241802,1402.48836342347,51.1236135439427,87.5504725590117,420.667090738615,411.35206313291,138.256065280705,170.414630690749,91.592477508854,69.6214944075453,65.7609240018834,556.892684351502,56.1939062383031,95.9152450980377,399.535410579851,438.412105281485,147.411814565816,133.495803735552,8.46798962084773,6.18244366198669,35.1677703210457,0.000647037557296184,0.227051573143042
